Genome	Pas_cpn60	Pas_fusA	Pas_gltA	Pas_pyrG	Pas_recA	Pas_rplB	Pas_rpoB	ST	Scheme	clonal_complex	species	CC	Assigned IC	Corrected IC
GCA_000498375.2_ASM49837v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000505685.2_ASM50568v2_genomic.fna	3	3	2	2	11	57	4	639	abaumannii#2		Acinetobacter baumannii	34	Not IC	Not IC
GCA_000576535.1_ASM57653v1_genomic.fna	2	-	2	2	2	2|2	2	-	abaumannii#2			NA	NA	NA
GCA_000695855.3_ASM69585v3_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000746605.1_ASM74660v1_genomic.fna	100	3	14	1	7	1	4	638	abaumannii#2			41	Not IC	Not IC
GCA_000746645.1_ASM74664v1_genomic.fna	26	2	2	2	29	4	5	79	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_000761175.1_ASM76117v1_genomic.fna	26	2	2	2	29	4	5	79	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_000786735.1_ASM78673v1_genomic.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
GCA_000794125.2_ASM79412v2_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_000814345.1_ASM81434v1_genomic.fna	5	2	4	1	3	4	4	464	abaumannii#2		Acinetobacter baumannii	15	IC9	IC9
GCA_000820665.1_CLCgenomics_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000820685.1_CLCgenomics_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000828795.1_ASM82879v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000828935.1_ASM82893v1_genomic.fna	3	12	11	2	14	4	14	622	abaumannii#2		Acinetobacter baumannii	9	Not IC	Not IC
GCA_000830055.1_ASM83005v1_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_000939415.2_HGAP_assembly_of_Acinetobacter_baumannii_ORAB01_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000963815.1_ASM96381v1_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_001026965.1_ASM102696v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001077555.2_ASM107755v2_genomic.fna	3	1	7	5	3	1	4	1545	abaumannii#2			63	Not IC	Not IC
GCA_001077565.2_ASM107756v2_genomic.fna	3	12	11	2	14	9	14	149	abaumannii#2		Acinetobacter baumannii	9	Not IC	Not IC
GCA_001077655.1_ASM107765v1_genomic.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
GCA_001077675.1_ASM107767v1_genomic.fna	3	2	2	2	30	4	28	437	abaumannii#2		Acinetobacter baumannii	4	IC3	Not IC
GCA_001077965.2_ASM107796v2_genomic.fna	246	3	5	26	6	2	3	1549	abaumannii#2			64	Not IC	Not IC
GCA_001261895.2_R2090_genomic.fna	12	37	2	2	3	2	14	267	abaumannii#2		Acinetobacter baumannii	27	Not IC	Not IC
GCA_001399655.1_ASM139965v1_genomic.fna	1	1	1	1	5	1	2	81	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_001457535.1_CIP70.10_genomic.fna	3	2	7	2	7	1	3	126	abaumannii#2		Acinetobacter baumannii	18	Not IC	Not IC
GCA_001514375.1_ASM151437v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001517645.1_R2091_genomic.fna	3	2	7	2	7	1	3	126	abaumannii#2		Acinetobacter baumannii	18	Not IC	Not IC
GCA_001543995.1_ASM154399v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001573065.1_ASM157306v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001573085.1_ASM157308v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001573105.1_ASM157310v1_genomic.fna	27	2	7	2	2	1	2	215	abaumannii#2		Acinetobacter baumannii	35	Not IC	Not IC
GCA_001573125.1_ASM157312v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001578145.1_ASM157814v1_genomic.fna	1	3	10	1	4	4	4	23	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
GCA_001593425.2_ASM159342v2_genomic.fna	3	2	2	2	30	4	28	437	abaumannii#2		Acinetobacter baumannii	4	IC3	Not IC
GCA_001628795.1_ASM162879v1_genomic.fna	26	2	2	2	29	4	5	79	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_001636235.1_ASM163623v1_genomic.fna	26	72	2	2	29	4	5	422	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_001668465.2_ASM166846v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001669145.2_ASM166914v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001674475.2_ASM167447v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001674505.2_ASM167450v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001721705.1_ASM172170v1_genomic.fna	3	3	15	5	71	1	36	1546	abaumannii#2			65	Not IC	Not IC
GCA_001806345.1_ASM180634v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001806365.1_ASM180636v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001806385.1_ASM180638v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001806405.1_ASM180640v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001806425.1_ASM180642v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001806445.1_ASM180644v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001806465.1_ASM180646v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001806485.1_ASM180648v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001887305.1_ASM188730v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001895125.2_ASM189512v2_genomic.fna	1	52	2	2	67	4	5	412	abaumannii#2		Acinetobacter baumannii	66	Not IC	Not IC
GCA_001895985.1_ASM189598v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001896005.1_ASM189600v1_genomic.fna	26	2	2	2	29	4	5	79	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_001902375.1_ASM190237v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001908295.1_ASM190829v1_genomic.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
GCA_001922205.1_ASM192220v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001922225.1_ASM192222v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001922245.1_ASM192224v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_001922425.2_ASM192242v2_genomic.fna	26	2	2	2	29	4	4	156	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_001941765.1_ASM194176v1_genomic.fna	3	2	2	2	30	4	28	437	abaumannii#2		Acinetobacter baumannii	4	IC3	Not IC
GCA_002009115.1_ASM200911v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002082625.2_ASM208262v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002082645.1_ASM208264v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002082685.1_ASM208268v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002082705.1_ASM208270v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002082725.1_ASM208272v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002082745.1_ASM208274v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002082785.1_ASM208278v1_genomic.fna	3	3	2	4	7	2	4	25	abaumannii#2		Acinetobacter baumannii	3	IC7	IC7
GCA_002082805.1_ASM208280v1_genomic.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
GCA_002082825.1_ASM208282v1_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_002082845.1_ASM208284v1_genomic.fna	2	2	2	2	2	2	43	187	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002082865.1_ASM208286v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002082885.1_ASM208288v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002116925.1_ASM211692v1_genomic.fna	3	2	2	7	9	1	5	52	abaumannii#2		Acinetobacter baumannii	10	Not IC	Not IC
GCA_002210065.1_ASM221006v1_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_002504145.1_ASM250414v1_genomic.fna	3	3	7	26	7	1	4	138	abaumannii#2		Acinetobacter baumannii	20	IC10	IC10
GCA_002741415.1_ASM274141v1_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_002753915.1_ASM275391v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002761575.1_ASM276157v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002762095.1_ASM276209v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002762115.1_ASM276211v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002762155.1_ASM276215v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002762545.2_ASM276254v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002803025.2_ASM280302v2_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_002843665.1_ASM284366v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002902885.1_ASM290288v1_genomic.fna	3	4	2	2	7	1	4	1543	abaumannii#2			14	Not IC	Not IC
GCA_002947415.1_ASM294741v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002947845.1_ASM294784v1_genomic.fna	26	2	2	2	29	4	5	79	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_002948475.1_ASM294847v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002948925.1_ASM294892v1_genomic.fna	3	3	51	2	28	1	3	229	abaumannii#2		Acinetobacter baumannii	42	IC3	IC3
GCA_002950495.2_ASM295049v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_002996805.1_ASM299680v1_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_002999195.2_ASM299919v2_genomic.fna	3	1	1	1	5	1	1	20	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_003006035.1_ASM300603v1_genomic.fna	3	3	2	4	7	2	4	25	abaumannii#2		Acinetobacter baumannii	3	IC7	IC7
GCA_003010655.1_ASM301065v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003010675.1_ASM301067v1_genomic.fna	26	2	2	2	29	4	5	79	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_003012895.3_ASM301289v3_genomic.fna	13	~3	7	26	7	1	29	new_alleles	abaumannii#2			NA	NA	NA
GCA_003029495.1_ASM302949v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003181015.1_ASM318101v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003202135.1_ASM320213v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003264255.1_ASM326425v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003264275.1_ASM326427v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003264295.1_ASM326429v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003288775.1_ASM328877v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003296225.1_ASM329622v1_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_003345235.1_ASM334523v1_genomic.fna	26	2	2	2	29	4	4	156	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_003431385.1_ASM343138v1_genomic.fna	3	3	2	4	7	2	4	25	abaumannii#2		Acinetobacter baumannii	3	IC7	IC7
GCA_003431865.1_ASM343186v1_genomic.fna	1	1	2	2	3	4	4	32	abaumannii#2		Acinetobacter baumannii	11	Not IC	Not IC
GCA_003516005.1_ASM351600v1_genomic.fna	2	2	2	2	2	129	2	1544	abaumannii#2			0	IC2	IC2
GCA_003522665.1_ASM352266v1_genomic.fna	26	72	2	2	29	4	5	422	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_003522705.1_ASM352270v1_genomic.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
GCA_003522785.1_ASM352278v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003522845.1_ASM352284v1_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_003522885.1_ASM352288v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003547115.1_ASM354711v1_genomic.fna	1	1	2	2	3	4	4	32	abaumannii#2		Acinetobacter baumannii	11	Not IC	Not IC
GCA_003591615.1_ASM359161v1_genomic.fna	2	2	2	75	2	2	2	922	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003627485.2_ASM362748v2_genomic.fna	2	-	2	2	2	2	-	-	abaumannii#2			NA	NA	NA
GCA_003812065.1_ASM381206v1_genomic.fna	1	4	5	3	6	2	3	1542	abaumannii#2			68	Not IC	Not IC
GCA_003812385.1_ASM381238v1_genomic.fna	1	3	17	5	3	1	14	57	abaumannii#2		Acinetobacter baumannii	31	Not IC	Not IC
GCA_003812485.1_ASM381248v1_genomic.fna	26	2	2	2	29	4	5	79	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_003931755.1_ASM393175v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003931775.1_ASM393177v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003948085.2_ASM394808v2_genomic.fna	25	3	6	2	28	1	29	78	abaumannii#2		Acinetobacter baumannii	7	IC6	IC6
GCA_003948455.2_ASM394845v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003948535.2_ASM394853v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003949115.2_ASM394911v2_genomic.fna	25	3	6	2	28	1	29	78	abaumannii#2		Acinetobacter baumannii	7	IC6	IC6
GCA_003949295.2_ASM394929v2_genomic.fna	2	2	2	2	-	2	2	-	abaumannii#2			NA	NA	NA
GCA_003949595.2_ASM394959v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_003949725.2_ASM394972v2_genomic.fna	25	3	6	2	28	1	29	78	abaumannii#2		Acinetobacter baumannii	7	IC6	IC6
GCA_004028375.1_ASM402837v1_genomic.fna	3	2	2	2	3	4	28	77	abaumannii#2		Acinetobacter baumannii	4	IC3	Not IC
GCA_004101685.1_ASM410168v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_004101705.1_ASM410170v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_004101725.1_ASM410172v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_004101745.1_ASM410174v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_004136355.1_ASM413635v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_004194555.1_ASM419455v1_genomic.fna	1	4	2	2	7	58	2	1197	abaumannii#2		Acinetobacter baumannii	14	Not IC	Not IC
GCA_004354125.1_ASM435412v1_genomic.fna	6	1	3	2	5	2	5	1039	abaumannii#2			69	Not IC	Not IC
GCA_004354145.1_ASM435414v1_genomic.fna	3	197	2	2	9	4	2	2250	abaumannii#2			70	Not IC	Not IC
GCA_004354165.1_ASM435416v1_genomic.fna	1	3	10	2	65	1	2	2251	abaumannii#2			71	Not IC	Not IC
GCA_004564095.1_ASM456409v1_genomic.fna	26	4	2	2	9	2	5	345	abaumannii#2		Acinetobacter baumannii	29	Not IC	Not IC
GCA_004564115.1_ASM456411v1_genomic.fna	26	4	2	2	9	2	5	345	abaumannii#2		Acinetobacter baumannii	29	Not IC	Not IC
GCA_004758865.1_ASM475886v1_genomic.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
GCA_004768705.1_ASM476870v1_genomic.fna	5	2	4	1	3	3	4	85	abaumannii#2		Acinetobacter baumannii	15	IC9	IC9
GCA_004794235.2_ASM479423v2_genomic.fna	3	2	2	2	30	4	28	437	abaumannii#2		Acinetobacter baumannii	4	IC3	Not IC
GCA_004794275.2_ASM479427v2_genomic.fna	3	2	2	2	30	4	28	437	abaumannii#2		Acinetobacter baumannii	4	IC3	Not IC
GCA_004797155.2_ASM479715v2_genomic.fna	3	2	2	2	30	4	28	437	abaumannii#2		Acinetobacter baumannii	4	IC3	Not IC
GCA_005280375.1_ASM528037v1_genomic.fna	2	-	2	2	2	2	2	-	abaumannii#2			NA	NA	NA
GCA_005280395.1_ASM528039v1_genomic.fna	1	3	10	1	4	1	4	1512	abaumannii#2			2	IC8	IC8
GCA_005280415.1_ASM528041v1_genomic.fna	1	3	2	1	4	4	92	575	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
GCA_005280435.1_ASM528043v1_genomic.fna	3	12	11	2	14	4	14	622	abaumannii#2		Acinetobacter baumannii	9	Not IC	Not IC
GCA_005280675.1_ASM528067v1_genomic.fna	1	52	2	2	9	4	2	285	abaumannii#2		Acinetobacter baumannii	72	Not IC	Not IC
GCA_005280695.1_ASM528069v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_005280715.1_ASM528071v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_005518095.1_ASM551809v1_genomic.fna	3	3	2	4	7	2	4	25	abaumannii#2		Acinetobacter baumannii	3	IC7	IC7
GCA_005519135.2_ASM551913v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_005671375.1_ASM567137v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_006385075.1_ASM638507v1_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_006843645.1_ASM684364v1_genomic.fna	3	3	2	4	7	2	4	25	abaumannii#2		Acinetobacter baumannii	3	IC7	IC7
GCA_007107525.1_ASM710752v1_genomic.fna	3	3	6	2	3	1	5	49	abaumannii#2		Acinetobacter baumannii	40	Not IC	Not IC
GCA_007221455.1_ASM722145v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_007647215.1_ASM764721v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_008033255.2_ASM803325v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_008124045.1_ASM812404v1_genomic.fna	40	3	2	2	4	35	4	294	abaumannii#2		Acinetobacter baumannii	73	Not IC	Not IC
GCA_008244865.1_ASM824486v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_008244885.1_ASM824488v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_008244905.1_ASM824490v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_008630895.1_ASM863089v1_genomic.fna	3	2	2	2	30	4	28	437	abaumannii#2		Acinetobacter baumannii	4	IC3	Not IC
GCA_008632635.1_ASM863263v1_genomic.fna	5	12	11	2	14	9	14	46	abaumannii#2		Acinetobacter baumannii	9	Not IC	Not IC
GCA_008802935.1_ASM880293v1_genomic.fna	3	4	2	2	7	1	2	203	abaumannii#2		Acinetobacter baumannii	14	Not IC	Not IC
GCA_008807055.1_ASM880705v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_008931365.1_ASM893136v1_genomic.fna	13	3	7	3	7	1	16	1547	abaumannii#2			74	Not IC	Not IC
GCA_009035845.1_ASM903584v1_genomic.fna	3	2	2	7	9	1	5	52	abaumannii#2		Acinetobacter baumannii	10	Not IC	Not IC
GCA_009428985.1_ASM942898v1_genomic.fna	1	1	2	1	5	1	1	623	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_009455505.1_ASM945550v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_009497995.1_ASM949799v1_genomic.fna	26	72	2	2	29	4	5	422	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
GCA_009498335.1_ASM949833v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_009740145.1_ASM974014v1_genomic.fna	39	2	2	2	4	27	4	150	abaumannii#2		Acinetobacter baumannii	23	Not IC	Not IC
GCA_009759685.1_ASM975968v1_genomic.fna	3	2	2	7	9	1	5	52	abaumannii#2		Acinetobacter baumannii	10	Not IC	Not IC
GCA_009833005.1_ASM983300v1_genomic.fna	3	2	2	2	7	4	4	825	abaumannii#2			4	IC3	Not IC
GCA_011067065.1_ASM1106706v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_012272715.1_ASM1227271v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_012272735.1_ASM1227273v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_012272755.1_ASM1227275v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_012272775.1_ASM1227277v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_012272795.1_ASM1227279v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_012931605.1_ASM1293160v1_genomic.fna	3	1	5	26	13	2	3	1472	abaumannii#2			75	Not IC	Not IC
GCA_012931625.1_ASM1293162v1_genomic.fna	7	3	2	1	7	1	4	103	abaumannii#2		Acinetobacter baumannii	24	Not IC	Not IC
GCA_012931645.1_ASM1293164v1_genomic.fna	7	3	2	1	7	1	4	103	abaumannii#2		Acinetobacter baumannii	24	Not IC	Not IC
GCA_012931665.1_ASM1293166v1_genomic.fna	34	35	37	1	5	6	36	107	abaumannii#2		Acinetobacter baumannii	43	Not IC	Not IC
GCA_012934905.1_ASM1293490v1_genomic.fna	3	3	2	4	7	2	4	25	abaumannii#2		Acinetobacter baumannii	3	IC7	IC7
GCA_012934925.1_ASM1293492v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_012934945.1_ASM1293494v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_012934965.1_ASM1293496v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_012934985.1_ASM1293498v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_012935005.1_ASM1293500v1_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_012935025.1_ASM1293502v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
